Date,p_low_vol,p_med_vol,p_high_vol
2008-01-03,0.0,9.858050809105809e-170,1.0
2008-01-04,0.0,9.858050809105809e-170,1.0
2008-01-07,0.0,9.858050809105809e-170,1.0
2008-01-08,0.0,9.858050809105809e-170,1.0
2008-01-09,0.0,9.858050809105809e-170,1.0
2008-01-10,0.0,9.858050809105809e-170,1.0
2008-01-11,0.0,9.858050809105809e-170,1.0
2008-01-14,0.0,9.858050809105809e-170,1.0
2008-01-15,0.0,9.858050809105809e-170,1.0
2008-01-16,0.0,9.858050809105809e-170,1.0
2008-01-17,0.0,9.858050809105809e-170,1.0
2008-01-18,0.0,9.858050809105809e-170,1.0
2008-01-22,0.0,9.858050809105809e-170,1.0
2008-01-23,0.0,9.858050809105809e-170,1.0
2008-01-24,0.0,9.858050809105809e-170,1.0
2008-01-25,0.0,9.858050809105809e-170,1.0
2008-01-28,0.0,9.858050809105809e-170,1.0
2008-01-29,0.0,9.858050809105809e-170,1.0
2008-01-30,0.0,9.858050809105809e-170,1.0
2008-01-31,0.0,9.858050809105809e-170,1.0
2008-02-01,0.0,9.858050809105809e-170,1.0
2008-02-04,0.0,9.858050809105809e-170,1.0
2008-02-05,0.0,9.858050809105809e-170,1.0
2008-02-06,0.0,9.858050809105809e-170,1.0
2008-02-07,0.0,9.858050809105809e-170,1.0
2008-02-08,0.0,9.858050809105809e-170,1.0
2008-02-11,0.0,9.858050809105809e-170,1.0
2008-02-12,0.0,9.858050809105809e-170,1.0
2008-02-13,0.0,9.858050809105809e-170,1.0
2008-02-14,0.0,9.858050809105809e-170,1.0
2008-02-15,0.0,9.858050809105809e-170,1.0
2008-02-19,0.0,9.858050809105809e-170,1.0
2008-02-20,0.0,9.858050809105809e-170,1.0
2008-02-21,0.0,9.858050809105809e-170,1.0
2008-02-22,0.0,9.858050809105809e-170,1.0
2008-02-25,0.0,9.858050809105809e-170,1.0
2008-02-26,0.0,9.858050809105809e-170,1.0
2008-02-27,0.0,9.858050809105809e-170,1.0
2008-02-28,0.0,9.858050809105809e-170,1.0
2008-02-29,0.0,9.858050809105809e-170,1.0
2008-03-03,0.0,9.858050809105809e-170,1.0
2008-03-04,0.0,9.858050809105809e-170,1.0
2008-03-05,0.0,9.858050809105809e-170,1.0
2008-03-06,0.0,9.858050809105809e-170,1.0
2008-03-07,0.0,9.858050809105809e-170,1.0
2008-03-10,0.0,9.858050809105809e-170,1.0
2008-03-11,0.0,9.858050809105809e-170,1.0
2008-03-12,0.0,9.858050809105809e-170,1.0
2008-03-13,0.0,9.858050809105809e-170,1.0
2008-03-14,0.0,9.858050809105809e-170,1.0
2008-03-17,0.0,9.858050809105809e-170,1.0
2008-03-18,0.0,9.858050809105809e-170,1.0
2008-03-19,0.0,9.858050809105809e-170,1.0
2008-03-20,0.0,9.858050809105809e-170,1.0
2008-03-24,0.0,9.858050809105809e-170,1.0
2008-03-25,0.0,9.858050809105809e-170,1.0
2008-03-26,0.0,9.858050809105809e-170,1.0
2008-03-27,0.0,9.858050809105809e-170,1.0
2008-03-28,0.0,9.858050809105809e-170,1.0
2008-03-31,6.827752189657199e-124,0.3957746124874753,0.604225387516056
2008-04-01,2.3803134258292376e-12,0.4948937078307793,0.5051062921652011
2008-04-02,3.2665408741313e-10,0.8047378033078936,0.19526219636478642
2008-04-03,1.2717837360114708e-09,0.936086095163099,0.06391390356421695
2008-04-04,3.7168110533280094e-09,0.9838396983030196,0.016160297981109656
2008-04-07,1.6050673039068436e-08,0.996813552166828,0.0031864317852993243
2008-04-08,4.630117502376823e-08,0.9994789277039293,0.0005210259913314051
2008-04-09,8.336680530389249e-08,0.9999171574210083,8.275921558327202e-05
2008-04-10,1.1180415028248914e-06,0.9999754477425136,2.3434213585202353e-05
2008-04-11,5.567806794425279e-10,0.9999339238350988,6.607560469205188e-05
2008-04-14,6.01920267313353e-07,0.9999813920352233,1.8006047578635473e-05
2008-04-15,2.9526053425977236e-06,0.999984648065555,1.2399329659955075e-05
2008-04-16,4.676904964005295e-06,0.9999606767761346,3.464632146140132e-05
2008-04-17,0.0013182412710120522,0.9986745928004618,7.165924936396756e-06
2008-04-18,0.008388802729357306,0.9916042476896726,6.9495837849081624e-06
2008-04-21,0.02781638375912425,0.9721785078286619,5.108412522166067e-06
2008-04-22,0.0661008941910531,0.933894713883232,4.3919254392139435e-06
2008-04-23,0.23061019089987483,0.7693871978940976,2.6112054392663957e-06
