Date,portfolio_value,daily_return
2018-01-03,100270.50653457642,0.0027050653457641573
2018-01-04,100448.9912071228,0.0017800316236044886
2018-01-05,100838.83828735352,0.0038810452503884236
2018-01-08,100979.67567062378,0.0013966581295683802
2018-01-09,101084.12913131714,0.0010344008336297921
2018-01-10,100859.06202697754,-0.002226532555345236
2018-01-11,101246.46500015259,0.003841032876861643
2018-01-12,101570.1538143158,0.00319703817968084
2018-01-16,101461.2209186554,-0.001072489226112078
2018-01-17,102088.21136665344,0.006179606773120973
2018-01-18,101916.88834381104,-0.0016781861543944023
2018-01-19,102274.50107574463,0.00350886627079122
2018-01-22,102745.48427009583,0.004605089141450663
2018-01-23,102807.3452091217,0.0006020793951708838
2018-01-24,102830.77424049377,0.00022789258223148359
2018-01-25,103073.83232688904,0.002363670683124639
2018-01-26,103803.91806793213,0.00708313375530359
2018-01-29,103340.56953430176,-0.004463690217619172
2018-01-30,102635.6707496643,-0.006821123473714492
2018-01-31,102569.73458099365,-0.0006424293638756181
2018-02-01,102281.29632377625,-0.0028121185883506717
2018-02-02,100898.6520690918,-0.013518055640472346
2018-02-05,97813.30277442932,-0.030578696854639202
2018-02-06,99456.084690094,0.016795076631377512
2018-02-07,98855.71475219727,-0.006036533006175396
2018-02-08,95831.61762428284,-0.030591019805935996
2018-02-09,97042.88221931458,0.012639509016540006
2018-02-12,98397.43741798401,0.01395831582586521
2018-02-13,98580.59717178345,0.0018614280880241943
2018-02-14,99627.77255249023,0.010622530302611285
2018-02-15,100715.30139350891,0.010915920462295756
2018-02-16,100791.16443824768,0.0007532424933363583
2018-02-20,100024.84028625488,-0.007603088586820578
2018-02-21,99431.14102935791,-0.0059355181692657645
2018-02-22,99652.76389884949,0.0022289080382386526
2018-02-23,100946.90972709656,0.012986552280282617
2018-02-26,101725.32928848267,0.0077111777219383395
2018-02-27,100603.78882980347,-0.011025183860537071
2018-02-28,99584.4318561554,-0.010132391488481295
2018-03-01,98685.95768547058,-0.00902223524237818
2018-03-02,99072.3385257721,0.003915256530548922
2018-03-05,100025.72687530518,0.009623153785605567
2018-03-06,100141.98333740234,0.0011622656063484183
2018-03-07,99742.1630077362,-0.003992534562842108
2018-03-08,100210.18360328674,0.004692304452172709
2018-03-09,101359.77308273315,0.011471782987619486
2018-03-12,101234.49269676208,-0.0012359971037899944
2018-03-13,100887.64506912231,-0.0034261803304405144
2018-03-14,100384.21965789795,-0.004989960969744581
2018-03-15,100005.05848884583,-0.00377709933238787
2018-03-16,100175.03343009949,0.0016996634352513305
2018-03-19,99160.12799263,-0.010131321175726545
2018-03-20,99226.0964641571,0.0006652721498302482
2018-03-21,99200.71404647827,-0.00025580385184256174
2018-03-22,97543.79788208008,-0.01670266368870975
2018-03-23,96008.67639732361,-0.015737766194138393
2018-03-26,97985.94556617737,0.020594692511653846
2018-03-27,97183.53695297241,-0.008189017400082418
2018-03-28,96948.13777160645,-0.002422212534617642
2018-03-29,98087.1930141449,0.011749119361342186
2018-04-02,96135.70337486267,-0.01989545810532885
2018-04-03,97330.46853256226,0.012427902597652267
2018-04-04,98187.05722427368,0.008800827784208704
2018-04-05,99013.69745826721,0.00841903461986198
2018-04-06,97402.21941947937,-0.016275304126149352
2018-04-09,97719.3624458313,0.003256014372589371
2018-04-10,99195.94469642639,0.015110436802262234
2018-04-11,98973.80557632446,-0.0022393971929170124
2018-04-12,99331.46572875977,0.00361368495787999
2018-04-13,99448.05954360962,0.0011737853055368297
2018-04-16,100335.6394329071,0.008925059909371745
2018-04-17,101065.72807502747,0.007276463739572414
2018-04-18,101083.37802696228,0.00017463834942852004
2018-04-19,100144.85185432434,-0.009284673612585469
2018-04-20,99240.76532363892,-0.009027788387969787
2018-04-23,99253.87569236755,0.00013210668706436127
2018-04-24,98314.50390052795,-0.009464333612030775
2018-04-25,98557.5137348175,0.002471759757191284
2018-04-26,99369.53112220764,0.008239020614653286
2018-04-27,99452.42584228516,0.0008342066138519677
2018-04-30,98746.98824882507,-0.007093216555408993
2018-05-01,98470.46502304077,-0.002800320604082744
2018-05-02,97789.39719390869,-0.006916468089926442
2018-05-03,97649.81787872314,-0.00142734610490309
2018-05-04,98655.98414421082,0.01030382121897334
2018-05-07,98604.19695472717,-0.0005249269969061621
2018-05-08,98305.94731712341,-0.0030247154463485656
2018-05-09,98930.75074768066,0.006355703267287665
2018-05-10,99727.81488227844,0.008056788496740118
2018-05-11,99954.26910591125,0.0022707228058704114
