Date,portfolio_value,daily_return
2018-01-02,100552.75806808472,0.005527580680847162
2018-01-03,101006.85750389099,0.004516031628876865
2018-01-04,101571.50791358948,0.005590218561910356
2018-01-05,101833.10281562805,0.0025754752234368925
2018-01-08,101886.21725845337,0.0005215832706333485
2018-01-09,101786.54220199585,-0.0009782977436945675
2018-01-10,102834.59740066528,0.01029659890194091
2018-01-11,103739.54096221924,0.008799991291142058
2018-01-12,103218.07123947144,-0.005026720938910994
2018-01-16,104033.13188552856,0.007896491731240974
2018-01-17,103809.62329292297,-0.002148436642775738
2018-01-18,104520.12795257568,0.00684430438253162
2018-01-19,105683.1219406128,0.011126985881272533
2018-01-22,106034.19516944885,0.0033219422589856884
2018-01-23,106199.2371749878,0.0015564979323433679
2018-01-24,105993.46487045288,-0.0019376062390717033
2018-01-25,106850.86098098755,0.008089141265290195
2018-01-26,106436.09728050232,-0.003881706676739178
2018-01-29,105520.3979549408,-0.008603277919410022
2018-01-30,105031.23812675476,-0.004635689759196275
2018-01-31,104061.79698753357,-0.009230026766429627
2018-02-01,102822.88392448425,-0.011905551306189099
2018-02-02,99026.35471534729,-0.03692299869672229
2018-02-05,101337.63839530945,0.023340086450783476
2018-02-06,101027.83267021179,-0.003057163458745016
2018-02-07,97000.61410331726,-0.03986246621800448
2018-02-08,97722.46014976501,0.00744166470615228
2018-02-09,99050.02074241638,0.013585009941591796
2018-02-12,99563.61233329773,0.005185173986151532
2018-02-13,101152.75865745544,0.015961115581442642
2018-02-14,102053.96291923523,0.00890933943612581
2018-02-15,101598.51685142517,-0.004462796492973966
2018-02-16,101288.15711021423,-0.003054766455545789
2018-02-20,101176.93974494934,-0.00109802931001967
2018-02-21,101116.19526863098,-0.0006003786680194745
2018-02-22,102556.80009269714,0.014247023636905727
2018-02-23,103525.59651184082,0.009446437664474887
2018-02-26,101335.61533355713,-0.021154006855041
2018-02-27,100862.17980194092,-0.004671955956036249
2018-02-28,99679.49938964844,-0.011725707441727535
2018-03-01,99937.81430244446,0.002591454756271036
2018-03-02,101005.61401748657,0.010684641469250094
2018-03-05,101362.58377075195,0.0035341575489415884
2018-03-06,101082.89603805542,-0.0027592798278415283
2018-03-07,101421.57354354858,0.0033504927022041326
2018-03-08,103145.01439094543,0.016992842717598287
2018-03-09,103478.7719669342,0.003235809098089263
2018-03-12,102577.78012275696,-0.00870702103485679
2018-03-13,102466.30166816711,-0.0010867700047362601
2018-03-14,102424.28171348572,-0.00041008559884864713
2018-03-15,102317.59547233582,-0.0010416108306069319
2018-03-16,100811.81780052185,-0.014716703074019061
2018-03-19,101131.36892700195,0.0031697784391945373
2018-03-20,100963.73407173157,-0.0016575950375138971
2018-03-21,98709.81670570374,-0.02232402938293162
2018-03-22,96751.24675178528,-0.01984169375734727
2018-03-23,99711.21930885315,0.030593637358096885
2018-03-26,97759.28656959534,-0.019575858692608552
2018-03-27,96570.75261116028,-0.012157760148842064
2018-03-28,97923.56830024719,0.014008544538676128
2018-03-29,95843.09223175049,-0.02124591765403886
2018-04-02,97059.67240905762,0.012693457076336944
2018-04-03,97968.73412322998,0.009366008473026008
2018-04-04,98858.9756565094,0.009086996389681096
2018-04-05,96863.61869239807,-0.020183872540256706
2018-04-06,96632.82619667053,-0.002382654074286114
2018-04-09,98049.9359664917,0.014664890033713945
2018-04-10,97913.05086708069,-0.0013960753575381294
2018-04-11,96622.17592048645,-0.013183890555577015
2018-04-12,97384.95170402527,0.007894417366118216
2018-04-13,98310.57817840576,0.009504820387380576
2018-04-16,99194.06983947754,0.008986740566905122
2018-04-17,98824.40924263,-0.0037266400848936154
2018-04-18,98766.03374099731,-0.0005906992217820297
2018-04-19,97871.01272201538,-0.0090620326146641
2018-04-20,97929.35958480835,0.0005961608158555815
2018-04-23,96708.3353729248,-0.012468418225753
2018-04-24,96990.59935569763,0.0029187141075726923
2018-04-25,97966.45067024231,0.010061297909562316
2018-04-26,98961.45344352722,0.010156566523310281
2018-04-27,98674.43503761292,-0.002900305077654247
2018-04-30,98368.28394889832,-0.0031026383743458985
2018-05-01,98314.67636680603,-0.0005449681537611644
2018-05-02,98146.47623825073,-0.0017108343817127903
2018-05-03,98595.576171875,0.0045758131197097315
2018-05-04,98278.40822601318,-0.0032168577757375103
2018-05-07,97209.2296962738,-0.010879078620001289
2018-05-08,98131.12108230591,0.009483578760088058
2018-05-09,98925.79004478455,0.008098032038298238
2018-05-10,99067.79761123657,0.001435495904432385
2018-05-11,99578.30408096313,0.005153102037555125
2018-05-14,99604.04890060425,0.00025853844247217923
2018-05-15,99952.00078964233,0.003493350851483054
2018-05-16,101459.62522506714,0.015083484307610107
2018-05-17,100673.62154006958,-0.007746960263789381
2018-05-18,101704.4725227356,0.010239534119230237
2018-05-21,100351.45624160767,-0.013303409845869535
2018-05-22,100338.55598449707,-0.00012855077139624997
