Date,portfolio_value,daily_return
2018-01-03,100270.50653457642,0.0027050653457641573
2018-01-04,100448.9912071228,0.0017800316236044886
2018-01-05,100838.83828735352,0.0038810452503884236
2018-01-08,100979.67567062378,0.0013966581295683802
2018-01-09,101084.12913131714,0.0010344008336297921
2018-01-10,100859.06202697754,-0.002226532555345236
2018-01-11,101246.46500015259,0.003841032876861643
2018-01-12,101570.1538143158,0.00319703817968084
2018-01-16,101461.2209186554,-0.001072489226112078
2018-01-17,102088.21136665344,0.006179606773120973
2018-01-18,101916.88834381104,-0.0016781861543944023
2018-01-19,102274.50107574463,0.00350886627079122
2018-01-22,102745.17934036255,0.004602107657991257
2018-01-23,102807.04027938843,0.0006020811820372902
2018-01-24,102830.4693107605,0.00022789325816986416
2018-01-25,103073.52739715576,0.0023636776922677048
2018-01-26,103803.61313819885,0.007083154709841009
2018-01-29,103340.26460456848,-0.004463703329993841
2018-01-30,102635.68013954163,-0.0068181020023796845
2018-01-31,102569.74397087097,-0.0006424293051013897
2018-02-01,102281.30571365356,-0.0028121183309117084
2018-02-02,100898.66145896912,-0.013518054399454906
2018-02-05,97819.9297542572,-0.03051310750999299
2018-02-06,97822.13237380981,2.25170837695929e-05
2018-02-07,97822.13237380981,0.0
2018-02-08,97819.52362060547,-2.666833303507243e-05
2018-02-09,97819.52362060547,0.0
2018-02-12,97819.52362060547,0.0
2018-02-13,97819.52362060547,0.0
2018-02-14,97819.30997467041,-2.184082759257984e-06
2018-02-15,97823.57923316956,4.3644332599064505e-05
2018-02-16,97824.92629241943,1.3770291993376315e-05
2018-02-20,97801.18591308594,-0.00024268231250725448
2018-02-21,97773.95504760742,-0.0002784308311221824
2018-02-22,97817.91522216797,0.00044961027237920407
2018-02-23,98890.98682022095,0.01097009270352751
2018-02-26,99628.3291797638,0.007456112869854346
2018-02-27,98525.63191795349,-0.011068109551658307
2018-02-28,97517.3615989685,-0.010233583884289259
2018-03-01,96722.7583026886,-0.008148326444142756
2018-03-02,97084.03097343445,0.0037351361467098166
2018-03-05,98046.99205970764,0.009918841199915688
2018-03-06,98124.25172996521,0.0007879861343479001
2018-03-07,97740.75766563416,-0.003908249566951273
2018-03-08,98199.64222335815,0.00469491508643526
2018-03-09,99325.17273712158,0.011461655951896162
2018-03-12,99202.04994773865,-0.0012395930053783716
2018-03-13,98865.09752464294,-0.003396627622848672
2018-03-14,98384.95937156677,-0.004856498047316375
2018-03-15,98028.58612060547,-0.003622233044945436
2018-03-16,98215.51289367676,0.0019068598300633567
2018-03-19,97196.34491157532,-0.010376853432560496
2018-03-20,97268.65244674683,0.0007439326575221602
2018-03-21,97251.6741733551,-0.00017455030952566114
2018-03-22,95617.19871330261,-0.016806656275541013
2018-03-23,94104.95471382141,-0.015815606604576364
2018-03-26,95996.22996711731,0.0200975098393849
2018-03-27,95202.12279701233,-0.008272274550542186
2018-03-28,94972.31471443176,-0.0024138966215129197
2018-03-29,96087.4043045044,0.011741206828806335
2018-04-02,94175.06692314148,-0.0199020609954521
2018-04-03,95344.555519104,0.012418240136924679
2018-04-04,96184.23338317871,0.00880677307165653
2018-04-05,96993.14143753052,0.008409985981062802
2018-04-06,95415.13675308228,-0.016269239876765634
2018-04-09,95725.96041488647,0.0032575927927301126
2018-04-10,97171.84745979309,0.015104440202427709
2018-04-11,96953.66882514954,-0.002245286472852443
2018-04-12,97304.1531162262,0.003614966770455468
2018-04-13,97418.57949256897,0.001175966006364551
2018-04-16,98288.00605010986,0.008924648276227555
2018-04-17,99003.7340335846,0.007281946315095998
2018-04-18,99021.6948852539,0.00018141590157820436
2018-04-19,98102.67757797241,-0.009280969269880182
2018-04-20,97217.359582901,-0.009024401952411094
2018-04-23,97230.3390045166,0.00013350929989548336
2018-04-24,96309.42282485962,-0.009471489959674033
2018-04-25,96547.75521469116,0.0024746528723877245
2018-04-26,97343.55422019958,0.00824254280939853
2018-04-27,97425.03675842285,0.0008370614662265765
2018-04-30,96733.85188865662,-0.007094530243597557
2018-05-01,96464.00135612488,-0.002789618393800172
2018-05-02,95795.83637237549,-0.006926573378214572
2018-05-03,95659.31996917725,-0.0014250765833660917
2018-05-04,96642.93888664246,0.010282520488146315
2018-05-07,96593.07641410828,-0.0005159453252209759
2018-05-08,96289.52137565613,-0.0031426169423444433
2018-05-09,96860.94105148315,0.005934391070423285
2018-05-10,97604.99557685852,0.007681677643209025
2018-05-11,97852.80309486389,0.002538881504381978
