Date,GLD,IWM,QQQ,SPY,TLT
2008-01-02,84.86000061035156,58.76808547973633,43.41145706176758,103.77827453613281,54.813201904296875
2008-01-03,85.56999969482422,58.11909484863281,43.592288970947266,103.72813415527344,54.73773193359375
2008-01-04,85.12999725341797,56.36763000488281,41.68048858642578,101.18612670898438,54.749351501464844
2008-01-07,84.7699966430664,56.49272537231445,41.48244857788086,101.10023498535156,54.98743438720703
2008-01-08,86.77999877929688,54.749080657958984,40.405967712402344,99.46759796142578,54.923553466796875
2008-01-09,86.55000305175781,55.30422592163086,41.26713562011719,100.51303100585938,55.02808380126953
2008-01-10,88.25,56.06267547607422,41.32743835449219,101.17180633544922,54.284706115722656
2008-01-11,88.58000183105469,54.90545654296875,40.51791763305664,100.35551452636719,54.708675384521484
2008-01-14,89.54000091552734,55.358978271484375,41.22409439086914,101.1646728515625,54.911922454833984
2008-01-15,87.98999786376953,54.34248352050781,40.08733367919922,98.93772888183594,55.52755355834961
2008-01-16,86.69999694824219,54.39723205566406,39.6567497253418,98.08560180664062,55.12682342529297
2008-01-17,86.5,53.075782775878906,39.10560989379883,95.5436019897461,55.84113311767578
2008-01-18,87.41999816894531,52.55976104736328,39.05392837524414,94.56263732910156,55.45784378051758
2008-01-22,88.16999816894531,52.1844367980957,38.046363830566406,93.60307312011719,56.05027770996094
2008-01-23,87.88999938964844,53.967166900634766,37.89997482299805,95.85152435302734,55.92249298095703
2008-01-24,90.08000183105469,53.9280891418457,38.67502975463867,96.66065216064453,54.801570892333984
2008-01-25,90.30000305175781,53.537139892578125,37.882747650146484,95.26433563232422,55.7249641418457
2008-01-28,91.75,54.670894622802734,38.1755485534668,96.83966827392578,55.51592254638672
2008-01-29,91.1500015258789,54.81163787841797,38.244449615478516,97.31941223144531,55.138427734375
2008-01-30,92.05999755859375,54.12355041503906,38.20999526977539,96.60335540771484,54.7783317565918
2008-01-31,91.4000015258789,55.46843338012695,38.864479064941406,98.36486053466797,55.16746520996094
