Date,portfolio_value,daily_return,SPY_weight,QQQ_weight,IWM_weight,TLT_weight,GLD_weight
2019-01-03,0.9865080714225769,-0.013491928577423096,0.22145256400108337,0.22461643815040588,0.22365637123584747,0.16402782499790192,0.16624674201011658
2019-01-04,1.0102054812846362,0.024021506309509277,0.1913410723209381,0.28019168972969055,0.23889529705047607,0.12231097370386124,0.16726098954677582
2019-01-07,1.0186410872798717,0.008350386284291744,0.2040567249059677,0.22519052028656006,0.22603872418403625,0.16044394671916962,0.18427006900310516
2019-01-08,1.0254215687912498,0.006656398996710777,0.2096530795097351,0.23140887916088104,0.22957536578178406,0.1537523865699768,0.1756102591753006
2019-01-09,1.0312310963090359,0.005665501579642296,0.2074255347251892,0.23534663021564484,0.23114383220672607,0.1504693627357483,0.17561465501785278
2019-01-10,1.0319002340086352,0.0006488726940006018,0.20315855741500854,0.24270741641521454,0.23409374058246613,0.1440529227256775,0.1759873777627945
2019-01-11,1.031982773231532,7.998759974725544e-05,0.1998170167207718,0.24835707247257233,0.2360781729221344,0.1394563466310501,0.17629125714302063
2019-01-14,1.0258406095964905,-0.005951808299869299,0.19369448721408844,0.2600853741168976,0.23869380354881287,0.13128650188446045,0.17623981833457947
2019-01-15,1.0347446022433613,0.008679703809320927,0.1865401417016983,0.2727220952510834,0.24185822904109955,0.12247367203235626,0.1764058768749237
2019-01-16,1.0377522607849547,0.002906667534261942,0.1932823210954666,0.2513558864593506,0.2383851855993271,0.1358206570148468,0.18115589022636414
2019-01-17,1.0433889105608025,0.005431594792753458,0.19520112872123718,0.254408061504364,0.23906750977039337,0.13382621109485626,0.1774970293045044
2019-01-18,1.0487930843637214,0.005179443396627903,0.19707351922988892,0.24928168952465057,0.23815284669399261,0.13727624714374542,0.17821575701236725
2019-01-22,1.03851892163405,-0.00979617703706026,0.20163674652576447,0.2409290224313736,0.23672141134738922,0.14284873008728027,0.17786407470703125
2019-01-23,1.0382930280243055,-0.0002175151603296399,0.18840761482715607,0.27457576990127563,0.2446725219488144,0.11988812685012817,0.17245601117610931
2019-01-24,1.0422567994967555,0.0038175845984369516,0.18742573261260986,0.26605960726737976,0.24394577741622925,0.12471674382686615,0.1778521090745926
2019-01-25,1.0524072388523307,0.009738904424011707,0.19268985092639923,0.25622662901878357,0.2446005642414093,0.12943817675113678,0.1770447939634323
2019-01-28,1.0467954318927097,-0.005332353059202433,0.2006102353334427,0.23942062258720398,0.24315302073955536,0.13936543464660645,0.17745064198970795
2019-01-29,1.0450446791585026,-0.0016724879387766123,0.19637653231620789,0.2554371953010559,0.24847234785556793,0.12736772000789642,0.17234623432159424
2019-01-30,1.058797628306616,0.013160154223442078,0.19172821938991547,0.26018252968788147,0.24895133078098297,0.12469156086444855,0.17444635927677155
2019-01-31,1.0679160777045558,0.008612079545855522,0.2013951539993286,0.23429733514785767,0.24445396661758423,0.14115048944950104,0.1787029653787613
2019-02-01,1.065892146748432,-0.0018952153623104095,0.20663763582706451,0.23161953687667847,0.24497675895690918,0.14224965870380402,0.1745164692401886
2019-02-04,1.0722522889908435,0.005966966040432453,0.20404471457004547,0.23991608619689941,0.24735525250434875,0.1363430619239807,0.17234089970588684
2019-02-05,1.076799959028246,0.0042412313632667065,0.20848707854747772,0.22775796055793762,0.2467692792415619,0.14358538389205933,0.17340034246444702
2019-02-06,1.0742452062253742,-0.0023725416976958513,0.20815889537334442,0.23088036477565765,0.24979601800441742,0.13960765302181244,0.17155712842941284
2019-02-07,1.0678314072733872,-0.005970516707748175,0.20430590212345123,0.23880361020565033,0.25226035714149475,0.13380278646945953,0.17082735896110535
2019-02-08,1.0701625962083712,0.0021831057965755463,0.19523245096206665,0.2555348873138428,0.2555265724658966,0.12297946959733963,0.17072664201259613
2019-02-11,1.070826507838126,0.0006203838856890798,0.19581258296966553,0.24824731051921844,0.2537969648838043,0.12779046595096588,0.1743527054786682
2019-02-12,1.080736075124529,0.009254129603505135,0.20053334534168243,0.2409157007932663,0.2517513632774353,0.13305062055587769,0.17374897003173828
